Chromosome	Start	End	Gene	TPM	Length
chr1	838332	838639	LINC01128	0.21	307
chr1	935884	936170	AURKAIP1	12.25	286
chr1	1032441	1032698	AURKAIP1	12.25	257
chr1	1264863	1265188	AURKAIP1	12.25	325
chr1	1568167	1568404	AURKAIP1	12.25	237
chr1	1859080	1859299	GNB1	6.04	219
chr1	2318931	2319242	RER1	2.55	311
chr1	2329129	2329415	RER1	2.55	286
chr1	2330807	2331153	RER1	2.55	346
chr1	2336030	2336445	RER1	2.55	415
chr1	2501137	2501552	RER1	2.55	415
chr1	2985267	2985588	.	.	321
chr1	3674128	3674475	TPRG1L	1.20	347
chr1	3804282	3804541	TPRG1L	1.20	259
chr1	5889871	5890197	NPHP4	0.18	326
chr1	5938490	5938720	RPL22	9.46	230
chr1	6270162	6270593	RPL22	9.46	431
chr1	6271557	6271914	RPL22	9.46	357
chr1	6299680	6300186	RPL22	9.46	506
chr1	6316078	6316436	RPL22	9.46	358
chr1	6316968	6317260	RPL22	9.46	292
chr1	6330367	6330670	RPL22	9.46	303
chr1	6353957	6354173	RPL22	9.46	216
chr1	6501965	6502231	RPL22	9.46	266
chr1	6561917	6562220	RPL22	9.46	303
chr1	6634335	6634686	RPL22	9.46	351
chr1	6960327	6960799	CAMTA1	5.76	472
chr1	7279480	7279764	PARK7	19.20	284
chr1	7291482	7291993	PARK7	19.20	511
chr1	7293812	7294123	PARK7	19.20	311
chr1	7298239	7298579	PARK7	19.20	340
chr1	7300147	7300367	PARK7	19.20	220
chr1	7300995	7301208	PARK7	19.20	213
chr1	7313079	7313443	PARK7	19.20	364
chr1	7334506	7334984	PARK7	19.20	478
chr1	7341550	7342027	PARK7	19.20	477
chr1	7401879	7402287	PARK7	19.20	408
chr1	7469661	7469999	PARK7	19.20	338
chr1	7549335	7549656	PARK7	19.20	321
chr1	7953971	7954219	PARK7	19.20	248
chr1	8070042	8070291	PARK7	19.20	249
chr1	8070410	8070858	PARK7	19.20	448
chr1	8077191	8077585	PARK7	19.20	394
chr1	8091758	8092004	PARK7	19.20	246
chr1	8222872	8223174	PARK7	19.20	302
chr1	8302047	8302378	ENO1	68.27	331
chr1	8402316	8402529	ENO1	68.27	213
chr1	8439089	8439441	ENO1	68.27	352
chr1	8463390	8463653	ENO1	68.27	263
chr1	8525909	8526257	ENO1	68.27	348
chr1	8626423	8626786	ENO1	68.27	363
chr1	8651442	8651672	ENO1	68.27	230
chr1	8689797	8690033	ENO1	68.27	236
chr1	8706995	8707312	ENO1	68.27	317
chr1	8822656	8823104	ENO1	68.27	448
chr1	8848099	8848411	ENO1	68.27	312
chr1	8890014	8890263	ENO1	68.27	249
chr1	8903881	8904251	ENO1	68.27	370
chr1	9164052	9164340	ENO1	68.27	288
chr1	9275577	9275913	ENO1	68.27	336
chr1	9595008	9595442	ENO1	68.27	434
chr1	9792436	9792706	PGD	11.62	270
chr1	9842192	9842554	PGD	11.62	362
chr1	9852521	9852740	PGD	11.62	219
chr1	9891278	9891606	PGD	11.62	328
chr1	9929416	9929763	PGD	11.62	347
chr1	10015742	10015977	PGD	11.62	235
chr1	10310447	10311007	PGD	11.62	560
chr1	10456712	10456970	PGD	11.62	258
chr1	10528326	10528646	PGD	11.62	320
chr1	10601725	10601967	PGD	11.62	242
chr1	10674953	10675199	PGD	11.62	246
chr1	10679369	10679844	PGD	11.62	475
chr1	10841096	10841588	PGD	11.62	492
chr1	10856213	10856484	PGD	11.62	271
chr1	10856872	10857236	PGD	11.62	364
chr1	11340021	11340243	MAD2L2	5.87	222
chr1	11342706	11342939	MAD2L2	5.87	233
chr1	11700661	11701095	MAD2L2	5.87	434
chr1	12044174	12044392	MIIP	0.88	218
chr1	12133087	12133338	MIIP	0.88	251
chr1	12342398	12342987	SNORA59A	2.39	589
chr1	12356360	12356888	SNORA59A	2.39	528
chr1	12474012	12474323	SNORA59A	2.39	311
chr1	12549679	12550216	SNORA59A	2.39	537
chr1	12556498	12556775	SNORA59A	2.39	277
chr1	12636562	12636817	SNORA59A	2.39	255
chr1	12669662	12669923	SNORA59A	2.39	261
chr1	13751689	13751916	PRDM2	0.70	227
chr1	13764565	13764787	PRDM2	0.70	222
chr1	13901262	13901483	PRDM2	0.70	221
chr1	14037265	14037863	PRDM2	0.70	598
chr1	14061416	14061737	KAZN	0.26	321
chr1	14296882	14297140	TMEM51	0.72	258
chr1	14366322	14366636	TMEM51	0.72	314
chr1	14945214	14945939	TMEM51	0.72	725
chr1	14968290	14968647	TMEM51	0.72	357
chr1	14988149	14988643	TMEM51	0.72	494
chr1	15178986	15179516	EFHD2	3.15	530
chr1	15187834	15188287	EFHD2	3.15	453
chr1	15328728	15329050	EFHD2	3.15	322
chr1	15426067	15426297	EFHD2	3.15	230
chr1	15432297	15432627	EFHD2	3.15	330
chr1	15464474	15464744	EFHD2	3.15	270
chr1	15469774	15470365	EFHD2	3.15	591
chr1	15489020	15489746	EFHD2	3.15	726
chr1	15598448	15598729	EFHD2	3.15	281
chr1	15800533	15800775	EFHD2	3.15	242
chr1	15949835	15950083	UQCRHL	1.97	248
chr1	15950838	15951184	UQCRHL	1.97	346
chr1	16112896	16113161	SZRD1	4.35	265
chr1	16144969	16145420	SZRD1	4.35	451
chr1	16164120	16164539	SZRD1	4.35	419
chr1	16248737	16249047	SZRD1	4.35	310
chr1	16264536	16264851	SZRD1	4.35	315
chr1	16266514	16266827	SZRD1	4.35	313
chr1	16386498	16386752	SZRD1	4.35	254
chr1	16499594	16499807	NBPF1	0.59	213
chr1	16624290	16624520	NBPF1	0.59	230
chr1	16678126	16678446	NBPF1	0.59	320
chr1	16904997	16905323	NBPF1	0.59	326
chr1	16951765	16951978	NBPF1	0.59	213
chr1	16967310	16967703	NBPF1	0.59	393
chr1	17128470	17128772	SDHB	8.20	302
chr1	17212761	17213008	SDHB	8.20	247
chr1	17236788	17237234	SDHB	8.20	446
chr1	17587636	17588082	SDHB	8.20	446
chr1	17648740	17649048	SDHB	8.20	308
chr1	18126659	18126968	RCC2	4.96	309
chr1	18137965	18138422	RCC2	4.96	457
chr1	18190597	18190937	RCC2	4.96	340
chr1	18193072	18193287	RCC2	4.96	215
chr1	18693540	18693953	ALDH4A1	0.32	413
chr1	18712253	18712647	ALDH4A1	0.32	394
chr1	18762456	18763001	ALDH4A1	0.32	545
chr1	18764348	18764807	ALDH4A1	0.32	459
chr1	18778488	18778777	ALDH4A1	0.32	289
chr1	18814457	18814828	AKR7A2	3.71	371
chr1	18830508	18830918	AKR7A2	3.71	410
chr1	18923947	18924175	AKR7A2	3.71	228
chr1	18929826	18930044	AKR7A2	3.71	218
chr1	18941284	18941508	AKR7A2	3.71	224
chr1	19052509	19052795	AKR7A2	3.71	286
chr1	19073414	19073629	AKR7A2	3.71	215
chr1	19110279	19110575	AKR7A2	3.71	296
chr1	19221109	19221401	AKR7A2	3.71	292
