Chr	Start	Stop	GeneID	Max_norm_counts	RH4_dCBP1_072221_CWRU	RH4_DMSO_072221_CWRU	Norm_RH4_dCBP1_072221_CWRU	Norm_RH4_DMSO_072221_CWRU
1	77561526	77683440	ZZZ3	1.41	14.07	10.57	1.41	1.06
17	4004445	4143030	ZZEF1	0.15	1.46	0.82	0.15	0.08
7	143381345	143391111	ZYX	3.69	18.05	36.85	1.81	3.69
1	52726453	52827336	ZYG11B	2.04	20.34	12.34	2.04	1.24
1	52842736	52894998	ZYG11A	0.25	2.48	1.75	0.25	0.18
3	126437348	126475938	ZXDC	0.43	4.33	2.32	0.43	0.23
X	57592011	57597477	ZXDB	0.18	1.82	1.73	0.18	0.17
X	57905430	57910458	ZXDA	0.00	0	0	0.00	0.00
10	56357227	56361273	ZWINT	3.09	30.89	16.61	3.09	1.66
15	66505126	66550130	ZWILCH	1.57	15.69	13.8	1.57	1.38
11	113733183	113773699	ZW10	1.23	12.28	10.17	1.23	1.02
6	116635618	116668766	ZUP1	0.66	6.57	4.49	0.66	0.45
19	48170662	48197621	ZSWIM9	0.10	0.98	0.3	0.10	0.03
10	73796514	73801399	ZSWIM8-AS1	0.03	0.14	0.27	0.01	0.03
10	73785577	73801793	ZSWIM8	0.29	2.87	1.35	0.29	0.14
17	15976560	15999704	ZSWIM7	0.49	4.89	4.28	0.49	0.43
5	61332258	61546172	ZSWIM6	0.25	2.52	2.41	0.25	0.24
1	45016399	45206605	ZSWIM5	0.03	0.34	0.05	0.03	0.01
19	13795424	13832254	ZSWIM4	0.14	1.24	1.43	0.12	0.14
20	45857614	45879122	ZSWIM3	0.60	5.95	2.02	0.60	0.20
2	186827475	186849170	ZSWIM2	0.00	0	0	0.00	0.00
20	45880920	45885266	ZSWIM1	0.37	3.72	1.9	0.37	0.19
6	28224702	28233487	ZSCAN9	0.23	2.33	1.38	0.23	0.14
19	56202273	56209200	ZSCAN5C	0.00	0	0	0.00	0.00
19	56189686	56197890	ZSCAN5B	0.00	0	0.03	0.00	0.00
19	56314621	56341105	ZSCAN5A-AS1	0.02	0.17	0	0.02	0.00
19	56221303	56368278	ZSCAN5A	0.44	4.35	2.46	0.44	0.25
19	57651476	57679152	ZSCAN4	0.00	0	0	0.00	0.00
16	3382085	3402007	ZSCAN32	0.53	5.3	3.13	0.53	0.31
6	28324737	28359157	ZSCAN31	0.18	1.55	1.82	0.16	0.18
18	35251059	35290261	ZSCAN30	0.14	1.43	0.86	0.14	0.09
15	43358175	43371043	ZSCAN29	0.36	3.6	2.76	0.36	0.28
6	28267050	28278218	ZSCAN26	0.37	3.72	1.98	0.37	0.20
7	99616608	99738689	ZSCAN25	0.63	6.32	3.87	0.63	0.39
6	28425516	28443554	ZSCAN23	0.07	0.69	0.33	0.07	0.03
19	58326994	58342336	ZSCAN22	0.21	2.08	1.46	0.21	0.15
7	100049774	100065041	ZSCAN21	0.45	4.49	4.06	0.45	0.41
1	33472591	33504253	ZSCAN20	0.11	1.08	0.69	0.11	0.07
15	84601009	84623718	ZSCAN2	0.31	3.09	2.78	0.31	0.28
19	58083834	58118433	ZSCAN18	0.21	2.11	1.22	0.21	0.12
6	28121795	28137316	ZSCAN16-AS1	0.06	0.6	0.4	0.06	0.04
6	28123753	28130082	ZSCAN16	0.36	3.63	1.59	0.36	0.16
6	28090807	28095715	ZSCAN12P1	0.01	0.08	0.01	0.01	0.00
6	28378821	28399768	ZSCAN12	0.16	1.56	1.21	0.16	0.12
16	3088890	3099294	ZSCAN10	0.00	0	0	0.00	0.00
