Chromosome	Start	End	Gene	TPM	Length
chr1	1567298	1567875	AURKAIP1	12.25	577
chr1	7299318	7299807	PARK7	19.20	489
chr1	7335216	7335590	PARK7	19.20	374
chr1	8092587	8093231	PARK7	19.20	644
chr1	8137440	8138285	PARK7	19.20	845
chr1	8303209	8303572	ENO1	68.27	363
chr1	8343343	8343755	ENO1	68.27	412
chr1	10253791	10254153	PGD	11.62	362
chr1	10508535	10508975	PGD	11.62	440
chr1	12478172	12478602	SNORA59A	2.39	430
chr1	12491643	12492065	SNORA59A	2.39	422
chr1	16190005	16190277	SZRD1	4.35	272
chr1	19735409	19735872	DDOST	10.18	463
chr1	19765558	19766017	DDOST	10.18	459
chr1	20031112	20031492	DDOST	10.18	380
chr1	21696953	21697307	CDC42	8.28	354
chr1	22212622	22213028	CDC42	8.28	406
chr1	22808304	22808955	CDC42	8.28	651
chr1	24364829	24365383	CLIC4	6.11	554
chr1	24386237	24386654	CLIC4	6.11	417
chr1	25729735	25730351	HMGN2	48.90	616
chr1	26705754	26706258	HMGN2	48.90	504
chr1	27428528	27428956	NUDC	2.43	428
chr1	27438558	27438972	NUDC	2.43	414
chr1	29269329	29269838	YTHDF2	4.36	509
chr1	29675468	29676009	PTPRU	0.08	541
chr1	30879121	30879553	LAPTM5	2.24	432
chr1	31227938	31228357	SNRNP40	8.31	419
chr1	39961686	39962165	CAP1	9.48	479
chr1	43049597	43049948	YBX1	17.21	351
chr1	48494171	48494759	SPATA6	0.52	588
chr1	55322075	55322333	USP24	0.65	258
chr1	55726946	55727383	.	.	437
chr1	58592554	58592895	OMA1	0.99	341
chr1	58741654	58742129	JUN	4.87	475
chr1	59061999	59062400	JUN	4.87	401
chr1	59128684	59129230	JUN	4.87	546
chr1	59163591	59164193	JUN	4.87	602
chr1	59214628	59215196	JUN	4.87	568
chr1	59367353	59367957	JUN	4.87	604
chr1	59415817	59416264	JUN	4.87	447
chr1	59426995	59427519	JUN	4.87	524
chr1	59443339	59443968	JUN	4.87	629
chr1	59505626	59506053	JUN	4.87	427
chr1	59669860	59670383	JUN	4.87	523
chr1	59714942	59715472	JUN	4.87	530
chr1	59994660	59995176	CYP2J2	0.03	516
chr1	60503212	60503759	NFIA	0.39	547
chr1	61181022	61181362	TM2D1	1.62	340
chr1	62327773	62328258	USP1	5.21	485
chr1	62384602	62385069	USP1	5.21	467
chr1	63653885	63654427	PGM1	3.36	542
chr1	67650137	67650350	GNG12	5.85	213
chr1	76827162	76827387	PIGK	1.83	225
chr1	77514305	77514869	FUBP1	2.94	564
chr1	78833498	78833805	.	.	307
chr1	79079856	79080225	.	.	369
chr1	79373711	79374086	.	.	375
chr1	80837083	80837435	.	.	352
chr1	81032941	81033231	.	.	290
chr1	81126956	81127544	.	.	588
chr1	81237503	81238052	.	.	549
chr1	81498386	81498672	.	.	286
chr1	82162442	82162860	.	.	418
chr1	82464675	82464988	.	.	313
chr1	83102724	83103219	.	.	495
chr1	84206443	84206754	GNG5	5.32	311
chr1	85330847	85331261	GNG5	5.32	414
chr1	86197234	86197708	C1orf52	1.69	474
chr1	87195936	87196472	HS2ST1	2.00	536
chr1	88647300	88647677	GTF2B	2.78	377
chr1	89088163	89088480	RBMXL1	1.41	317
chr1	90403110	90403545	ZNF644	3.21	435
chr1	91124522	91125473	ZNF644	3.21	951
chr1	91791160	91791519	CDC7	1.83	359
